MAPNAME,DATANAME
KENDRAPARA,KENDRAPARA
KENDUJHAR,KEONJHAR
KHADOOR SAHIB,KHADOOR SAHIB
KHAGARIA,KHAGARIA
KHAJURAHO,KHAJURAHO
KHAMMAM,KHAMMAM
KHANDWA,KHANDWA
KHARGONE,KHARGONE
KHEDA,KAIRA
KHERI,KHERI
KHUNTI,KHUNTI
KISHANGANJ,KISHANGANJ
KOCH BIHAR,KOCH BIHAR
KODARMA,KODARMA
KOKRAJHAR,KOKRAJHAR
KOLAR,KOLAR
KOLHAPUR,KOLHAPUR
KOLKATA DAKSHIN,CALCUTTA SOUTH
KOLKATA UTTAR,KOLKATA UTTAR
KOLLAM,KOLLAM
KOPPAL,KOPPAL
KORAPUT,KORAPUT
KORBA,KORBA
KOTA,KOTA
KOTTAYAM,KOTTAYAM
KOZHIKODE,KOZHIKODE
KRISHNAGIRI,KRISHNAGIRI
KRISHNANAGAR,KRISHNANAGAR
KRUKSHETRA,KURUKSHETRA
KURNOOL,KURNOOL
KUSHI NAGAR,KUSHI NAGAR
LAKHIMPUR,LAKHIMPUR
LAKSHADWEEP,LAKSHADWEEP
LALGANJ,LALGANJ
LATUR,LATUR
LEH (LADAKH),LEH (LADAKH)
LOHARDAGA,LOHARDAGA
LUCKNOW,LUCKNOW
LUDHIANA,LUDHIANA
MACHHLISHAHR,MACHHLISHAHR
MACHILIPATNAM,MACHILIPATNAM
MADHA,MADHA
MADHEPURA,MADHEPURA
MADHUBANI,MADHUBANI
MADURAI,MADURAI
MAHABUBABAD,MAHABUBABAD
MAHARAJGANJ,MAHARAJGANJ
MAHASAMUND,MAHASAMUND
MAHBUBNAGAR,MAHABUBNAGAR
MAHESANA,MEHSANA
MAINPURI,MAINPURI
MALAPPURAM,MANJERI
MALDAH DAKSHIN,MALDAH DAKSHIN
MALDAH UTTAR,MALDAH UTTAR
MALKAJGIRI,MALAKAJAGIRI
MANDI,MANDI
MANDLA,MANDLA
MANDSAUR,MANDSOUR
MANDYA,MANDYA
MANGALDOI,MANGALDOI
MATHURA,MATHURA
MATHURAPUR,MATHURAPUR
MAVAL,MAVAL
MAVELIKKARA,MAVELIKKARA
MAYILADUTHURAI,MAYILADUTHURAI
MAYURBHANJ,MAYURBHANJ
MEDAK,MEDAK
MEDINIPUR,MEDINIPUR
MEERUT,MEERUT
MIRZAPUR,MIRZAPUR
MISRIKH,MISRIKH
MIZORAM,MIZORAM
MOHANLALGANJ,MOHANLALGANJ
MORADABAD,MORADABAD
MORENA,MORENA
MUMBAI NORTH,MUMBAI NORTH
MUMBAI NORTH-CENTRAL,MUMBAI NORTH-CENTRAL
MUMBAI NORTH-EAST,MUMBAI NORTH-EAST
MUMBAI NORTH-WEST,MUMBAI NORTH-WEST
MUMBAI SOUTH,MUMBAI SOUTH
MUMBAI SOUTH-CENTRAL,MUMBAI SOUTH-CENTRAL
MUNGER,MUNGER
MURSHIDABAD,MURSHIDABAD
MUZAFFARNAGAR,MUZAFFARNAGAR
MUZAFFARPUR,MUZAFFARPUR
MYSORE,MYSORE
NABARANGAPUR,NABARANGPUR
NAGALAND,NAGALAND
NAGAON,NOWGONG
NAGAPPATTINAM,NAGAPPATTINAM
NAGARKURNOOL,NAGARKURNOOL
NAGAUR,NAGAUR
NAGINA,NAGINA
NAGPUR,NAGPUR
NAINITAL - UDHAMSINGH NAGAR,NAINITAL-UDHAMSINGH NAGAR
NALANDA,NALANDA
NALGONDA,NALGONDA
NAMAKKAL,NAMAKKAL
NANDED,NANDED
NANDURBAR,NANDURBAR
NANDYAL,NANDYAL
NARASARAOPET,NARASARAOPET
NARSAPURAM,NARASAPUR
NASHIK,NASHIK
NAVSARI,NAVSARI
